year,state,employer,salary_median,rate_year,rate_state,rate_employer,rate
2018,VA,nuaxis,72862,2018,VA,nuaxis,0.5
2017,TX,sparkcognition,85000,2017,TX,sparkcognition,1.0
2019,CA,adesto,80000,2019,CA,adesto,1.0
2016,VA,technamo,70000,2016,VA,technamo,1.0
2018,LA,star,55910,2018,LA,star,1.0
2017,GA,scope,82100,2017,GA,scope,1.0
2019,TX,zeomega,109886,2019,TX,zeomega,1.0
2016,TX,nabors,81800,2016,TX,nabors,1.0
2018,CA,black mountain,84885,2018,CA,black mountain,0.5
2016,NJ,atri ech,64000,2016,NJ,atri ech,0.3333333333333333
2015,CA,big purple dot,69139,2015,CA,big purple dot,1.0
2019,OK,elajika,60000,2019,OK,elajika,1.0
2016,OH,steris,68457,2016,OH,steris,1.0
2015,CA,vibrant,85000,2015,CA,vibrant,1.0
2014,IL,motorola,75691,2014,IL,motorola,1.0
2015,CA,nexinfo,90000,2015,CA,nexinfo,1.0
2019,MN,traffic,80704,2019,MN,traffic,1.0
2017,TX,gdt advanced,55000,2017,TX,gdt advanced,1.0
2019,NC,control stop,77200,2019,NC,control stop,1.0
2017,CA,arcadia,105000,2017,CA,arcadia,1.0
2019,NJ,systech,75130,2019,NJ,systech,0.5
2017,CA,247 customer,100000,2017,CA,247 customer,1.0
2016,GA,sysarch,60000,2016,GA,sysarch,1.0
2017,WA,rhapsody,116667,2017,WA,rhapsody,1.0
2017,NY,kaplan,100000,2017,NY,kaplan,1.0
2015,NY,the gleason works,77667,2015,NY,the gleason works,1.0
2015,DC,abc imaging of washington,75000,2015,DC,abc imaging of washington,1.0
2015,GA,tsys,80000,2015,GA,tsys,1.0
2017,CA,sense360,105000,2017,CA,sense360,1.0
2017,ND,sundog interactive,59000,2017,ND,sundog interactive,1.0
2017,NY,amplify education,105000,2017,NY,amplify education,1.0
2015,NY,hanweck,95000,2015,NY,hanweck,1.0
2016,CA,evolvingapps,65000,2016,CA,evolvingapps,0.5
2015,TX,delta,50000,2015,TX,delta,1.0
2017,TX,covetus,80000,2017,TX,covetus,1.0
2016,NJ,lt,64000,2016,NJ,lt,1.0
2017,CA,smartthings,95000,2017,CA,smartthings,1.0
2016,AL,dst health,79950,2016,AL,dst health,1.0
2017,NY,hearst,70000,2017,NY,hearst,1.0
2015,CA,hipmunk,145000,2015,CA,hipmunk,1.0
2015,PA,faro,70000,2015,PA,faro,1.0
2017,CO,mfactor engineering,61500,2017,CO,mfactor engineering,1.0
